state_code,state_name_english,state_name_local,state_census2011_code,state_or_ut,last_updated
12,Arunachal Pradesh,ARUNACHAL PRADESH,12.0,S,2024-10-07
2,Himachal Pradesh,HIMACHAL PRADESH,2.0,S,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,S,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,S,2024-10-07
34,Puducherry,PUDUCHERRY,34.0,U,2024-10-07
9,Uttar Pradesh,UTTAR PRADESH,9.0,S,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,S,2024-10-07
20,Jharkhand,झारखंड,20.0,S,2024-10-07
17,Meghalaya,MEGHALAYA,17.0,S,2024-10-07
3,Punjab,PUNJAB,3.0,S,2024-10-07
16,Tripura,ত্রিপুরা,16.0,S,2024-10-07
10,Bihar,BIHAR,10.0,S,2024-10-07
7,Delhi,DELHI,7.0,U,2024-10-07
32,Kerala,KERALA,32.0,S,2024-10-07
11,Sikkim,SIKKIM,11.0,S,2024-10-07
38,The Dadra And Nagar Haveli And Daman And Diu,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,U,2024-10-07
5,Uttarakhand,UTTARAKHAND,5.0,S,2024-10-07
35,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,35.0,U,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,S,2024-10-07
18,Assam,ASSAM,18.0,S,2024-10-07
4,Chandigarh,CHANDIGARH,4.0,U,2024-10-07
6,Haryana,HARYANA,6.0,S,2024-10-07
1,Jammu And Kashmir,JAMMU AND KASHMIR,1.0,U,2024-10-07
37,Ladakh,Ladakh,0.0,U,2024-10-07
15,Mizoram,MIZORAM,15.0,S,2024-10-07
21,Odisha,ODISHA,21.0,S,2024-10-07
36,Telangana,తెలంగాణ,0.0,S,2024-10-07
30,Goa,GOA,30.0,S,2024-10-07
24,Gujarat,GUJARAT,24.0,S,2024-10-07
29,Karnataka,ಕರ್ನಾಟಕ,29.0,S,2024-10-07
31,Lakshadweep,LAKSHADWEEP,31.0,U,2024-10-07
14,Manipur,MANIPUR,14.0,S,2024-10-07
13,Nagaland,NAGALAND,13.0,S,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,S,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,S,2024-10-07
19,West Bengal,WEST BENGAL,19.0,S,2024-10-07
